traffic_scenario,load_name,A3C Policy Distilled from Full DQN,Calibrated DQN-Override baseline ranker,Energy-Aware-KSP-BM-FF,GNN-CNN Full DQN Ranker,KSP-BM-FF,KSP-FF,LightGBM-override ranker,XLRON Counterfactual Ranker
bursty,high,0.5553027199454705,0.5422620266118645,0.5463760532765786,0.5527188266142706,0.5537295999397934,0.5537295999397934,0.5558163199566801,0.5469616532859106
bursty,low,0.7535443732371528,0.7526075199215908,0.744942453225245,0.7496729599082866,0.746145013226519,0.746145013226519,0.75107029325219,0.7494181865715682
bursty,medium,0.6626386132629016,0.6670855999423664,0.6538780799188315,0.6565514132663507,0.6456742399274209,0.6456742399274209,0.6525915732792515,0.6686615465954839
bursty,overload,0.4481301332867146,0.4518893866286874,0.45068362662015354,0.4560651732903917,0.44840058662370835,0.44840058662370835,0.452185919965734,0.44288575995853546
hotspot,high,0.5692497066277861,0.5774607999619346,0.5743321599491338,0.5614869332831403,0.5669145066144765,0.5669145066144765,0.5753713599558373,0.5668917866208851
hotspot,low,0.7736782932609518,0.7843092265874148,0.7650264532340765,0.7771410132459203,0.7626311999061505,0.7626311999061505,0.7730199466052055,0.7737493865864078
hotspot,medium,0.6802725866088271,0.6879806399418711,0.6631546132641534,0.6868676266064544,0.6729610132672688,0.6729610132672688,0.6860756266111135,0.6820748799398044
hotspot,overload,0.4567545599678257,0.4586833599627912,0.4557248532989422,0.4666491199578345,0.4512243199600875,0.4512243199600875,0.4570850133034289,0.46687519996080795
nonuniform,high,0.46966650661850967,0.4812697066246569,0.4742542399492561,0.4661706666154165,0.4667850132856269,0.4667850132856269,0.4727403732932706,0.481935733280609
nonuniform,low,0.7046765865751704,0.7092933332613607,0.6863101332221826,0.7072054932346244,0.6806147198976974,0.6806147198976974,0.7016222932501037,0.698605333235701
nonuniform,medium,0.5784851199365556,0.6028041599416236,0.5840437332641284,0.5841297065991362,0.5746965332569379,0.5746965332569379,0.5986278399450283,0.5899542932660282
nonuniform,overload,0.37685199995751184,0.36400954662969703,0.37243109329353763,0.3862311999589304,0.367692053290834,0.367692053290834,0.3748788266322811,0.3797540799632668
uniform,high,0.5395680532872876,0.5462914666200478,0.543423999946316,0.5473710399464469,0.5445450666122038,0.5445450666122038,0.5523991999592085,0.5424240532805423
uniform,low,0.78290394657892,0.7801750399219691,0.774237013235559,0.7777869332391918,0.7747156265754402,0.7747156265754402,0.782008746590366,0.7857231999094189
uniform,medium,0.6842062399397988,0.6854674132758081,0.6794319465950529,0.6912916799347003,0.6815671999297936,0.6815671999297936,0.6780363732792933,0.6853685865942936
uniform,overload,0.4570518932923277,0.4627254399612447,0.4638329599602321,0.463569546627124,0.4591042132944166,0.4591042132944166,0.4685524266289572,0.45906661329002174
